grant_id,plan_id,emp_id,participant_group,grant_type,award_type,grant_date,shares_granted,psu_max_multiplier,psu_share_basis,stock_price_at_grant_usd,strike_price_usd,grant_date_fv_per_share_usd,vest_start_date,vest_months_total,cliff_months,vest_frequency,performance_period_end
G-005536,P-2022,E-0002,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005537,P-2022,E-0003,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005538,P-2022,E-0005,management,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005539,P-2022,E-0006,staff,annual_refresh,rsu,2026-02-15,563,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005540,P-2022,E-0007,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005541,P-2022,E-0008,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005542,P-2022,E-0009,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005543,P-2022,E-0010,staff,annual_refresh,rsu,2026-02-15,127,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005544,P-2022,E-0011,management,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005545,P-2022,E-0012,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005546,P-2022,E-0013,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005547,P-2022,E-0014,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005548,P-2022,E-0015,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005549,P-2022,E-0017,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005550,P-2022,E-0018,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005551,P-2022,E-0019,staff,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005552,P-2022,E-0020,ceo,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005553,P-2022,E-0021,staff,annual_refresh,rsu,2026-02-15,323,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005554,P-2022,E-0022,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005555,P-2022,E-0023,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005556,P-2022,E-0024,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005557,P-2022,E-0025,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005558,P-2022,E-0026,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005559,P-2022,E-0027,management,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005560,P-2022,E-0028,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005561,P-2022,E-0029,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005562,P-2022,E-0031,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005563,P-2022,E-0032,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005564,P-2022,E-0033,staff,annual_refresh,rsu,2026-02-15,106,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005565,P-2022,E-0034,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005566,P-2022,E-0036,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005567,P-2022,E-0037,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005568,P-2022,E-0039,management,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005569,P-2022,E-0040,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005570,P-2022,E-0042,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005571,P-2022,E-0044,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005572,P-2022,E-0045,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005573,P-2022,E-0048,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005574,P-2022,E-0049,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005575,P-2022,E-0050,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005576,P-2022,E-0051,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005577,P-2022,E-0052,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005578,P-2022,E-0053,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005579,P-2022,E-0055,management,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005580,P-2022,E-0056,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005581,P-2022,E-0057,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005582,P-2022,E-0058,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005583,P-2022,E-0059,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005584,P-2022,E-0060,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005585,P-2022,E-0061,management,annual_refresh,rsu,2026-02-15,3991,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005586,P-2022,E-0062,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005587,P-2022,E-0064,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005588,P-2022,E-0065,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005589,P-2022,E-0066,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005590,P-2022,E-0067,staff,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005591,P-2022,E-0068,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005592,P-2022,E-0069,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005593,P-2022,E-0070,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005594,P-2022,E-0071,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005595,P-2022,E-0072,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005596,P-2022,E-0073,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005597,P-2022,E-0074,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005598,P-2022,E-0075,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005599,P-2022,E-0076,staff,annual_refresh,rsu,2026-02-15,106,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005600,P-2022,E-0077,staff,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005601,P-2022,E-0080,management,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005602,P-2022,E-0082,staff,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005603,P-2022,E-0083,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005604,P-2022,E-0087,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005605,P-2022,E-0088,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005606,P-2022,E-0089,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005607,P-2022,E-0090,management,annual_refresh,rsu,2026-02-15,2700,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005608,P-2022,E-0091,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005609,P-2022,E-0092,management,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005610,P-2022,E-0093,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005611,P-2022,E-0094,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005612,P-2022,E-0095,staff,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005613,P-2022,E-0096,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005614,P-2022,E-0097,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005615,P-2022,E-0098,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005616,P-2022,E-0099,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005617,P-2022,E-0100,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005618,P-2022,E-0101,staff,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005619,P-2022,E-0102,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005620,P-2022,E-0103,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005621,P-2022,E-0104,management,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005622,P-2022,E-0105,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005623,P-2022,E-0106,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005624,P-2022,E-0107,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005625,P-2022,E-0108,staff,annual_refresh,rsu,2026-02-15,763,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005626,P-2022,E-0109,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005627,P-2022,E-0111,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005628,P-2022,E-0112,staff,annual_refresh,rsu,2026-02-15,751,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005629,P-2022,E-0113,management,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005630,P-2022,E-0114,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005631,P-2022,E-0116,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005632,P-2022,E-0117,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005633,P-2022,E-0118,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005634,P-2022,E-0119,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005635,P-2022,E-0120,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005636,P-2022,E-0121,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005637,P-2022,E-0125,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005638,P-2022,E-0126,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005639,P-2022,E-0128,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005640,P-2022,E-0129,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005641,P-2022,E-0131,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005642,P-2022,E-0132,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
