grant_id,plan_id,emp_id,participant_group,grant_type,award_type,grant_date,shares_granted,psu_max_multiplier,stock_price_at_grant_usd,strike_price_usd,grant_date_fv_per_share_usd,vest_start_date,vest_months_total,cliff_months,vest_frequency,performance_period_end
G-000061,P-2019,E-0244,staff,new_hire,rsu,2021-01-10,5263,1.0,38.0,,38.0,2021-01-10,48,12,monthly,
G-000623,P-2019,E-2111,staff,new_hire,rsu,2021-01-10,3102,1.0,38.0,,38.0,2021-01-10,48,12,monthly,
G-000211,P-2019,E-0781,staff,new_hire,rsu,2021-01-14,2440,1.0,38.0,,38.0,2021-01-14,48,12,monthly,
G-000087,P-2019,E-0345,staff,new_hire,rsu,2021-01-17,1545,1.0,38.0,,38.0,2021-01-17,48,12,monthly,
G-000666,P-2019,E-2224,staff,new_hire,rsu,2021-01-18,2772,1.0,38.0,,38.0,2021-01-18,48,12,monthly,
G-000356,P-2019,E-1239,staff,new_hire,rsu,2021-01-20,2543,1.0,38.0,,38.0,2021-01-20,48,12,monthly,
G-000207,P-2019,E-0766,staff,new_hire,rsu,2021-01-21,2578,1.0,38.0,,38.0,2021-01-21,48,12,monthly,
G-000026,P-2019,E-0081,staff,new_hire,rsu,2021-01-23,1773,1.0,38.0,,38.0,2021-01-23,48,12,monthly,
G-000407,P-2019,E-1382,staff,new_hire,rsu,2021-01-23,2962,1.0,38.0,,38.0,2021-01-23,48,12,monthly,
G-000226,P-2019,E-0844,staff,new_hire,rsu,2021-01-24,3250,1.0,38.0,,38.0,2021-01-24,48,12,monthly,
G-000252,P-2019,E-0930,staff,new_hire,rsu,2021-01-24,1446,1.0,38.0,,38.0,2021-01-24,48,12,monthly,
G-000596,P-2019,E-2020,staff,new_hire,rsu,2021-01-24,1417,1.0,38.0,,38.0,2021-01-24,48,12,monthly,
G-000588,P-2019,E-1995,staff,new_hire,rsu,2021-01-26,1777,1.0,38.0,,38.0,2021-01-26,48,12,monthly,
G-000117,P-2019,E-0452,staff,new_hire,rsu,2021-01-28,1593,1.0,38.0,,38.0,2021-01-28,48,12,monthly,
G-000660,P-2019,E-2204,staff,new_hire,rsu,2021-01-28,1575,1.0,38.0,,38.0,2021-01-28,48,12,monthly,
G-000540,P-2019,E-1831,staff,new_hire,rsu,2021-01-30,1438,1.0,38.0,,38.0,2021-01-30,48,12,monthly,
G-000677,P-2019,E-2265,staff,new_hire,rsu,2021-01-30,1661,1.0,38.0,,38.0,2021-01-30,48,12,monthly,
G-000507,P-2019,E-1729,staff,new_hire,rsu,2021-02-04,2685,1.0,38.0,,38.0,2021-02-04,48,12,monthly,
G-000490,P-2019,E-1664,staff,new_hire,rsu,2021-02-07,3009,1.0,38.0,,38.0,2021-02-07,48,12,monthly,
G-000630,P-2019,E-2127,staff,new_hire,rsu,2021-02-09,1589,1.0,38.0,,38.0,2021-02-09,48,12,monthly,
G-000342,P-2019,E-1200,staff,new_hire,rsu,2021-02-11,3201,1.0,38.0,,38.0,2021-02-11,48,12,monthly,
G-000237,P-2019,E-0891,staff,new_hire,rsu,2021-02-13,4540,1.0,38.0,,38.0,2021-02-13,48,12,monthly,
G-000001,P-2019,D-01,director,director_annual,rsu,2021-02-15,5263,1.0,38.0,,38.0,2021-02-15,12,12,annual,
G-000002,P-2019,D-02,director,director_annual,rsu,2021-02-15,5263,1.0,38.0,,38.0,2021-02-15,12,12,annual,
G-000003,P-2019,D-03,director,director_annual,rsu,2021-02-15,5263,1.0,38.0,,38.0,2021-02-15,12,12,annual,
G-000004,P-2019,D-04,director,director_annual,rsu,2021-02-15,5263,1.0,38.0,,38.0,2021-02-15,12,12,annual,
G-000005,P-2019,D-05,director,director_annual,rsu,2021-02-15,5263,1.0,38.0,,38.0,2021-02-15,12,12,annual,
G-000006,P-2019,D-06,director,director_annual,rsu,2021-02-15,5263,1.0,38.0,,38.0,2021-02-15,12,12,annual,
G-000007,P-2019,D-07,director,director_annual,rsu,2021-02-15,5263,1.0,38.0,,38.0,2021-02-15,12,12,annual,
G-000008,P-2019,D-08,director,director_annual,rsu,2021-02-15,5263,1.0,38.0,,38.0,2021-02-15,12,12,annual,
G-000009,P-2019,E-0003,staff,annual_refresh,rsu,2021-02-15,1982,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000010,P-2019,E-0009,staff,annual_refresh,rsu,2021-02-15,2697,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000011,P-2019,E-0012,staff,annual_refresh,rsu,2021-02-15,1600,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000012,P-2019,E-0015,staff,annual_refresh,rsu,2021-02-15,1291,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
G-000013,P-2019,E-0019,staff,annual_refresh,rsu,2021-02-15,1322,1.0,38.0,,38.0,2021-02-15,48,12,monthly,
