ticker,company_name,gics_sector,gics_subindustry,revenue_usd,market_cap_usd,employees,total_assets_usd,is_subject
ACMQ,Acme Corp,Information Technology,Application Software,851567000,6387000000,2023,1363000000,yes
S001,Issuer 001,Information Technology,Application Software,1132000000,4680000000,3290,1519000000,no
S002,Issuer 002,Information Technology,Application Software,712000000,5753000000,1980,918000000,no
S003,Issuer 003,Information Technology,Application Software,843000000,5970000000,3590,1195000000,no
S004,Issuer 004,Information Technology,Application Software,1186000000,6256000000,3980,2243000000,no
S005,Issuer 005,Information Technology,Application Software,445000000,3723000000,1630,654000000,no
S006,Issuer 006,Information Technology,Application Software,455000000,3002000000,1910,637000000,no
S007,Issuer 007,Information Technology,Application Software,781000000,7212000000,2760,1077000000,no
S008,Issuer 008,Information Technology,Application Software,467000000,2664000000,1730,779000000,no
S009,Issuer 009,Information Technology,Application Software,1840000000,12042000000,5680,2891000000,no
S010,Issuer 010,Information Technology,Application Software,586000000,3565000000,1840,1085000000,no
S011,Issuer 011,Information Technology,Application Software,456000000,3216000000,1550,738000000,no
S012,Issuer 012,Information Technology,Application Software,1570000000,10590000000,5650,2201000000,no
S013,Issuer 013,Information Technology,Application Software,481000000,2354000000,1390,574000000,no
S014,Issuer 014,Information Technology,Application Software,1506000000,9000000000,6120,2369000000,no
S015,Issuer 015,Information Technology,Application Software,519000000,4476000000,1560,639000000,no
S016,Issuer 016,Information Technology,Application Software,1555000000,13364000000,6680,2731000000,no
S017,Issuer 017,Information Technology,Application Software,649000000,4840000000,2620,966000000,no
S018,Issuer 018,Information Technology,Application Software,1534000000,11328000000,5820,2254000000,no
S019,Issuer 019,Information Technology,Application Software,449000000,3975000000,1370,724000000,no
S020,Issuer 020,Information Technology,Application Software,734000000,6349000000,2040,995000000,no
S021,Issuer 021,Information Technology,Application Software,1058000000,8353000000,3020,1400000000,no
S022,Issuer 022,Information Technology,Application Software,697000000,4711000000,2300,1006000000,no
S023,Issuer 023,Information Technology,Application Software,692000000,2547000000,2020,912000000,no
S024,Issuer 024,Information Technology,Application Software,444000000,2362000000,1280,510000000,no
S025,Issuer 025,Information Technology,Application Software,450000000,3602000000,1320,681000000,no
S026,Issuer 026,Information Technology,Application Software,1136000000,9037000000,4100,1813000000,no
S027,Issuer 027,Information Technology,Application Software,742000000,4444000000,2670,1118000000,no
S028,Issuer 028,Information Technology,Application Software,395000000,3223000000,1660,741000000,no
S029,Issuer 029,Information Technology,Application Software,1621000000,9292000000,4990,2227000000,no
S030,Issuer 030,Information Technology,Application Software,1341000000,11453000000,4020,1669000000,no
S031,Issuer 031,Information Technology,Application Software,1916000000,13244000000,6860,2683000000,no
S032,Issuer 032,Information Technology,Application Software,1371000000,4903000000,4090,2329000000,no
S033,Issuer 033,Information Technology,Application Software,1297000000,9793000000,3620,1805000000,no
S034,Issuer 034,Information Technology,Application Software,591000000,3683000000,2230,875000000,no
S035,Issuer 035,Information Technology,Application Software,1709000000,9133000000,7200,2724000000,no
S036,Issuer 036,Information Technology,Application Software,1713000000,16053000000,6860,2550000000,no
S037,Issuer 037,Information Technology,Application Software,1112000000,6067000000,3240,1551000000,no
S038,Issuer 038,Information Technology,Application Software,512000000,2800000000,1690,953000000,no
S039,Issuer 039,Information Technology,Application Software,627000000,3127000000,2590,1120000000,no
S040,Issuer 040,Information Technology,Application Software,773000000,5644000000,2600,1452000000,no
S041,Issuer 041,Information Technology,Application Software,707000000,3334000000,2070,1305000000,no
S042,Issuer 042,Information Technology,Application Software,1453000000,11491000000,4900,2624000000,no
S043,Issuer 043,Information Technology,Application Software,1318000000,6949000000,3800,2378000000,no
S044,Issuer 044,Information Technology,Application Software,679000000,3531000000,2340,1054000000,no
S045,Issuer 045,Information Technology,Application Software,812000000,3769000000,2550,1101000000,no
S046,Issuer 046,Information Technology,Application Software,1040000000,6364000000,2930,1834000000,no
S047,Issuer 047,Information Technology,Application Software,415000000,3044000000,1770,778000000,no
S048,Issuer 048,Information Technology,Application Software,1337000000,10936000000,4580,1961000000,no
S049,Issuer 049,Information Technology,Application Software,520000000,3265000000,1570,583000000,no
S050,Issuer 050,Information Technology,Application Software,1178000000,4846000000,4460,1979000000,no
S051,Issuer 051,Information Technology,Application Software,799000000,4970000000,2590,1204000000,no
S052,Issuer 052,Information Technology,Application Software,587000000,5113000000,1840,926000000,no
S053,Issuer 053,Information Technology,Application Software,506000000,4687000000,1670,700000000,no
S054,Issuer 054,Information Technology,Application Software,471000000,4172000000,1690,878000000,no
S055,Issuer 055,Information Technology,Application Software,776000000,3640000000,2250,1083000000,no
S056,Issuer 056,Information Technology,Application Software,1464000000,10256000000,5490,2761000000,no
S057,Issuer 057,Information Technology,Application Software,517000000,4325000000,2190,707000000,no
S058,Issuer 058,Information Technology,Application Software,555000000,4372000000,1990,627000000,no
S059,Issuer 059,Information Technology,Application Software,1040000000,7505000000,3850,1264000000,no
S060,Issuer 060,Information Technology,Application Software,528000000,3755000000,1830,917000000,no
